,ACTOR_ID,STAGE_NAME,YEARS_ACTIVE,LAST_GIVEN,FIRST_GIVEN,SEX,BIRTH,DEATH,ROLE_TYPES,NATIONALITY
0,1,Bud Abbott,1939-1956,Abbott,William,M,1895,1974,R:straight; comedian,Am
1,2,Diahnne Abbott,1976-1982,,,F,,199x,R:sexy,Am
2,3,George Abbott,1928-1958,Abbott,George,M,1887,199x,R:playwright; producer,Am
3,4,John Abbott,1937-1975,Abbott,John,M,1905,199x,R:staring eyes; eccentric parts,Br
4,5,Philip Abbott,1957-1973,Abbott,Philip,M,1923,199x,R:second lead,Am
5,6,Kareem AbdulJabbar,,,,M,,199x,R:basketball player,Am
6,7,Walter Abel,1935-1974,Abel,Walter,M,1898,1987,R:harrassed hero,Am
7,8,F.Murray Abraham,1983,,,M,,199x,RU:,Un
8,9,James Abrahams,,,,M,,199x,RU:,Un
9,10,Maury Abram,,,,,,199x,RU:,Un
10,11,Victoria Abril,1985-1990,,,F,,199x,R:sexy,Portugse
11,12,Joss Ackland,1949-1979,Ackland,Joss,M,1928,199x,R:larger-than-life personality,Br
12,13,Dan Ackroyd,1979-1990,Ackroyd,Dan,M,,199x,R:comic,Am
13,14,David Ackroyd,,,,M,1940,199x,RU:,Am
14,15,Peter Ackroyd,,,,M,,199x,RU:,Un
15,16,Rodolfo Acosta,1948-1967,Acosta,Rodolfo,M,1920,1974,R:cold-eyed,Am-Me
16,17,Eddie Acuff,1935-1947,Acuff,Eddie,M,1902,1956,R:supporting comedian,Am
17,18,Jean Adair,1922-1947,Adair,Jean,F,1872,1956,R:sweet aunt,Am
18,19,Alfred Adam,1935-1961,Adam,Alfred,M,1909,1982,R:weak; villainous,Fr
19,20,Ronald Adam,1938-1971,Adam,Ronald,M,1896,1979,R:well-bred; stuffy professional,Br
20,21,John Adames,,,,M,,199x,RU:,Un
21,22,Beverly Adams,1963-1967,Adams,Beverly,F,1945,199x,R:lead,Ca
22,23,Brooke Adams,1977-1983,Adams,Brooke,F,1949,199x,R:laid-back,Am
23,24,Catlin Adams,,Barab,Catlin,,1950,199x,RU:,Am
24,25,Dorothy Adams,1938-1976,Adams,Dorothy,F,1915,199x,R:timorous sullen,Am
25,26,Edie Adams,1960-1979,Enke,Elizabeth Edith,F,1929,199x,R:pert comedienne,Am
26,27,Jane Adams,1945-1949,Adams,Jane,F,1921,199x,RU:,Am
27,28,Jill Adams,1954-1966,Adams,Julia,F,1931,199x,R:pert light lead,Br
28,29,Julie Adams,1947-1981,Adams,S{Betty May (Julia),F,1926,199x,R:soft,Am
29,30,Maud Adams,1952-1967,Wikstrom,Maude,F,1950,199x,R:lead,Sw-Am
30,31,Nick Adams,1952-1967,Adamschock,Nicholas,M,1931,1968,R:neurotic aggressive lead,Am
31,32,Robert Adams,1935-1947,Adams,Robert,M,1906,199x,R:black,WI
32,33,Sam Adams,,,,M,,199x,R:comic,
33,34,Tome Adams,1963-1975,Adams,Tome,M,1938,199x,R:burly,Br
34,35,Dawn Addams,1951-1977,Addams,Dawn,F,1930,1985,R:smart; glamorous,Br
35,36,Wesley Addy,1951-1982,Addy,Wesley,M,1912,1997,R:humourless; sinister,Am
36,37,Isabelle Adjani,1971-1983,Adjani,Isabelle,F,1955,199x,R:lead,Fr-Ge
37,38,Jay Adler,1938-1965,Adler,Jay,M,1899,1978,R:character,Am
38,39,Luther Adler,1937-1981,Adler,Lutha,M,1903,1984,R:heavy,Am
39,40,Renee Adoree,1920-1930,de la Fontè,Jeanne,F,1898,1933,R:exotic,Fr
40,41,Mario Adorf,1959-1981,Adorf,Mario,M,1930,199x,R:European films,Zw
41,42,Max Adrian,1934-1971,Bor,Max,M,1902,1973,R:high camp personality,Ir
42,43,John Agar,1948-1976,Agar,John,M,1921,199x,R:lead,Am
43,44,Rati Agnihotri,1985,bn,fn,F,1960,199x,R:modern dancer,In
44,45,Jenny Agutter,1964-1981,Agutter,Jenny,F,1952,199x,R:lead,Br
45,46,Brian Aherne,1924-1967,Aherne,Brian,M,1902,1986,R:gentle lead,Br
46,47,Philip Ahn,1936-1975,Ahn,Philip,M,1911,1978,R:Asiatic,Am
47,48,Anouk Aimée,1947-1983,Dreyfus,Fran{c}coise Sorya,F,1932,199x,R:poised heartthrob,Fr
48,49,Richard Ainley,1936-1949,Ainley,Richard,M,1910,1967,RU:,Br
49,50,Maria Aitkins,1989,,,F,,199x,RU:,Un
50,51,Franklyn Ajaye,1976-1978,,,M,1949,199x,RU:,Am
51,52,Muriel Aked,1922-1953,Aked,Muriel,F,1887,1955,R:comedy spinster; gossip,Br
52,53,Claude Akins,1953-1979,Akins,Claude,M,1918,1994,R:western villain; burly middle-aged hero,Am
53,54,Serap Aksoy,1991,Aksoy,Serap,F,,199x,R:sr,Tu
54,55,Josh Albee,1979,,,M,,199x,RU:,Un
55,56,Anna Maria Alberghetti,1951-1960,Alberghetti,Anna Maria,F,1936,199x,R:singer,It
56,57,Han Albers,1923-1960,Albers,Han,M,1892,199x,R:lead,Ge
57,58,Eddie Albert,1938-1982,Heimberger,Eddie Albert,M,1908,199x,R:honest Joe,Am
58,59,Edward Albert,1965-1982,Albert,Edward,M,1951,199x,R:light,Am
59,60,Edward Albert jr.,,,,M,,199x,RU:,Un
60,61,William Albert,1982,,,M,,199x,RU:,Un
61,62,Frank Albertson,1928-1963,Albertson,Frank,M,1907,1981,R:straight,Am
62,63,Jack Albertson,1947-1978,Albertson,Jack,M,1907,1981,R:character,Am
63,64,Mabel Albertson,1939-1970,Albertson,Mabel,F,1901,1982,R:nosey neighbour; wise and witty grandma,Am
64,65,Hardie Albright,1931-1957,Albrecht,Hardy,M,1903,1971,R:underused lead,Am
65,66,Lola Albright,1949-1968,Albright,Lola,F,1925,199x,R:stylish; tough-talking,Am
66,67,Alan Alda,1963-1982,Alda,Alan,M,1936,199x,R:lead,Am
