,ID,TITLE,RELEASE_YEAR,PRODUCER_NAME,STUDIO,GENRE
0,H2,Number Thirteen,1922,P:Hitchcock,St:Islington; SD:Famous,
1,H3,Woman to Woman,1922,P:Balcon,St:B-S-F; SD:Wardour,Dram
2,H4,The Passionate Adventure,1924,P:Balcon,St:Gainsborough; SD:GaumontD,
3,H5,The Blackguard,1925,P:Balcon,St:UFA; SD:Wardour,
4,H7,The Pleasure Garden,1925,P:Balcon,St:Gainsborough and Emelka; SD:Wardour,Dram
5,H8,The Mountain Eagle,1926,P:Balcon,St:Gainsborough; Emelka; SD:Wardour,Dram
6,H9,The Lodger: A Story of The London Fog,1926,P:Balcon,St:Gainsborough; SD:(Wardour,Susp
7,H10,Downhill,1927,P:Balcon,St:Islington; Gainsborough; SD:Wardour,Susp
8,H11,Easy Virtue,1927,P:Balcon,St:Gainsborough; SD:Wardour,Susp
9,H12,The Ring,1927,P:J.Maxwell,St:BIP Elstree; SD:Wardour,Susp
10,H13,The Farmer's Wife,1928,P:J.Maxwell,St:BIP Elstree; SD:Wardour,Susp
11,H14,Champagne,1928,P:J.Maxwell,St:BIP Elstree; SD:Wardour,Romt
12,H15,Harmony Heaven,1929,PN:,St:BIP; SD:France-Societé des Ciné-Romans,Susp
13,H16,The Manxman,1929,P:J.Maxwell,St:BIP Elstree; SD:Wardour,Susp
14,H17,Blackmail,1929,P:J.Maxwell,St:BIP Elstree; SD:Wardour,Susp
15,H18,Elstree Calling,1929,PN:,St:BIP Elstree,Musc
16,H19,Juno And The Paycock,1930,P:J.Maxwell,St:BIP Elstree; SD:Wardour,Susp
17,H20,Murder!,1930,P:J.Maxwell; Alfred Abel: German version,St:BIP Elstree; SD:Wardour,Myst
18,H21,The Skin Game,1931,P:J.Maxwell,St:BIP Elstree; SD:Wardour,Dram
19,H22,Rich and Strange,1932,P:J.Maxwell,St:BIP Elstree; SD:Wardour,Susp
20,H23,Number Seventeen,1932,P:J.Maxwell,St:BIP Elstree; SD:Wardour,Myst
21,H24,Lord Camber's Ladies,1932,P:Hitchcock,St:BIP Elstree; SD:Wardour,Susp
22,H25,Waltzes From Vienna,1933,PN:Tom Arnold,St:Lime Grove; SD:G.F.D.,Romt;Comd
23,H26,The Man Who Knew Too Much,1934,P:Balcon; Montagu,St:Gaumont Lime Grove; SD:G.F.D.,Susp
24,H27,The 39 Steps,1935,P:Balcon; Montagu,St:Gaumont Lime Grove; SD:G.F.D.,Susp
25,H28,Secret Agent,1936,P:Balcon; Montagu,St:Gaumont Lime Grove; SD:G.F.D.,Susp
26,H29,Sabotage,1936,P:Balcon; Montague,St:Lime Grove; SD:G.F.D.,Susp
27,H30,Young and Innocent,1938,P:Black,St:Lime Grove and Pinewood; SD:G.F.D.,Susp
28,H31,The Lady Vanishes,1938,P:Black,St:Lime Grove Gainsborough; SD:MGM,Susp
29,H32,Jamaica Inn,1939,P:Pommer; Laughton,St:Elstree; SD:Associated British; Paramount,Dram
30,H33,Rebecca,1940,P:Selznick,St:Selznick; SD:U.A.,Dram
31,H34,Foreign Correspondent,1940,P:Wanger,St:U.A.,Susp
32,H35,Mr. and Mrs. Smith,1941,P:Eddington,St:RKO,Romt
33,H36,Suspicion,1941,P:Raphaelson; Hitchcock,St:RKO,Susp
34,H37,Saboteur,1942,P:F.Lloyd; Skirball,St:Universal,Susp
35,H38,Shadow of a Doubt,1943,P:Skirball,St:Universal,Susp
36,H39,Lifeboat,1943,P:MacGowan,St:Fox,Susp
