,DIR_ID,DIRECTOR_NAME,YEARS_ACTIVE,LAST_NAME,FIRST_NAME,INVOLVEMENT
0,JeA,Abel,1971,Abel,Jeanne,DPW
1,GgA,Abbott,1929-1958,Abbott,George,AWDP
2,xAb,Abrahams,1948,Abrahams,,WD
3,JiA,J.Abrahams,1980-1988,Abrahams,Jim,WD
4,,Jeffrey Abrams,1991-1992,Abrams,Jeffrey,W
5,NAb,Abramson,1998,Abramson,Neil,D
6,TAb,Abduladze,1977,Abduladze,Tengiz,D
8,RAA,Ackerman,1994,Ackerman,Robert Allan,D
9,NAA,Acub,1957,Acub,Nya' Abbas,D
11,AlA,Adamson,1969-1983,Adamson,Al,DP
12,JuA,Addis,1955-1957,Addis,Justus,D
13,GAe,Adler,1996,Adler,Gilber,D
14,CAd,C.Adler,1998,Adler,Carine,D
15,PAd,Adlon,1981-1994,Adlon,Percy,D
16,IGA,Adolfi,1915-1933,Adolfi,John G.,AD
17,NyA,Adomenaite,1991,Adomenaite,Niyole,D
18,DAf,Afredson,1993,Afredson,Daniel,D
19,MoA,Aguirre,1991,Aguirre,Monte,D
21,CAm,Akerman,1969-1993,Akerman,Chantal,D
22,MAk,Akkad,1976,Akkad,Mustapha,D
24,AAl,Alda,1979-1986,Alda,Alan,AWD
25,RoA,Aldrich,1953-1981,Aldrich,Robert,DP
26,TGA,Alea,1964-1968,Alea,Tomas Gutierrez,D
27,GoA,Alessandrini,1942,Alessandrini,Goffredo,D
28,JAx,Alexander,1992,Alexander,Jourdon,WPD
29,GAv,Alexandrov,1934,Alexandrov,Grigori,D
30,JAl,Algar,1954,Algar,James,D
31,FcA,Aliwalas,1997,Aliwalas,Francisco,WDA
32,DAl,Algrant,1994,Algrant,Dan,WD
33,MAl,M.Allegret,1931-1963,Allégret,Marc,D
34,YAl,Y.Allegret,1941-1963,Allégret,Yves,D
35,CoA,C.Allen,1977-1978,Allen,Corey,ADW
36,FAl,F.Allen,1940,Allen,Fred,D
37,InA,I.Allen,1955-1974,Allan,Irwin,WPD
38,LAl,L.Allen,1944-1963,Allan,Lewis,D
39,TAl,T.Allen,1990,Allan,Ted,WD
40,WA,Woody Allen,1969-1991,Konigsberg,Allen Stewart,WDAP
41,RgA,Allers,1994,Allers,Roger,D
43,PlA,Almond,1959-1968,Almond,Paul,DW
44,PAl,Almodovar,1980-1994,Almodóvar,Pedro,DA
45,RAl,Altman,1955-1982,Altman,Robert,DWP
46,SiA,Amadio,1960,Amadio,Silvio,D
47,SuA,Amaral,1985,Amaral,Suzana,D
48,GnA,Amelio,1993-1996,Amelio,Gianni,D
49,AAm,Amenabar,1999,Amenábar,Alejandro,D
50,FAm,Amurri,1989-1994,Amurri,Franco,WD
51,JoA,Amiel,1990-1993,Amiel,Jon,PD
52,AAn,Anders,1992-1194,Anders,Allison,D
53,ToA,Andersen,1974,Andersen,Thom,D
54,BdA,B.Anderson,1996,Anderson,Brad,D
55,KuA,K.Anderson,1991,Anderson,Kurt,D
56,LrA,Lr.Anderson,1991,Anderson,Laurie,D
57,LiA,L.Anderson,1953-1987,Anderson,Lindsay,DA
58,MiA,M.Anderson,1950-1982,Anderson,Michael,D
59,PTA,P.Anderson,1997,Anderson,Paul Thomas,WD
60,SvA,S.Anderson,1992,Anderson,Steve,D
61,WeA,W.Anderson,1996,Anderson,Wes,D
62,JPd,deAndrade,1962-1969,de b,Joaquim Pedro,D
64,RAn,Andre,19dd,André,Raoul,D
65,MxA,Angel,1975,Angel,Mikel,D
66,AAg,Angelidi,1985,Angelidi,Antoinetta,D
67,YvA,Angelo,1995,Angelo,Yves,DW
68,TAn,Angelopoulos,1970-1998,Angelopoulos,Theo,D
69,MaA,Angelou,1998,Angelou,Maya,D
70,KeA,Annakin,1946-1982,Annakin,Ken,D
71,JJA,Annaud,1971-1992,Annaud,Jean-Jaques,D
73,yAn,Antel,1988,Antel,gn,D
74,JAn,Anthony,1956-1972,Deuster,Joseph,DA
75,PAn,Antonijevic,1998,Antonijevic,Peter,D
76,LAn,Antonio,1985,Antonio,Lou,AD
77,MA,Antonioni,1950-1982,Antonioni,Michelangelo,D
78,StA,Apostoloff,1965,Apostoloff,Stephen C.,DP
79,MAp,Apted,1964-1994,Apted,Michael,D
80,MGA,Aragon,1982,Aragon,Manuel Guiterrez,D
81,GrA,Araki,1988,Araki,Gregg,DWCE
82,VAr,Aranda,1992,Aranda,Vincente,D
83,AfA,Arau,1992,Arau,Alfonso,D
84,DeA,Arcand,1989,Arcand,Denys,D
85,GAr,Archainbaud,1919-1953,Archainbaud,George,D
86,EAr,Ardolino,1987-1993,Ardolino,Emile,D
87,DaA,Argento,1970-1991,Argento,Dario,DW
88,IAg,Argyle,1931-1950,Argyle,John,DP
89,AAt,Aristarain,1990,Aristarain,Adolfo,D
90,ViA,Aristov,1990,Aristov,Voktor,D
91,AAR,Arkush,1979-1981,Arkush,Allan,D
93,MAr,Arlen,1927-1928,Arlen,Michael,D
94,LAr,Arliss,1942-1955,Arliss,Leslie,WD
95,GeA,Armitage,1990-1997,Armitage,George,D
96,GiA,Armstrong,1979-1994,Armstrong,Gillian,D
97,JA,Arnold,1953-1976,Arnold,Jack,D
98,DAr,Aronofsky,1998,Aronofsky,Darren,D
99,YiA,Arslan,1992,Arslan,Yilmar,D
100,KaA,Arthur,1991,Arthur,Karen,D
102,DAz,Arzner,1927-1943,Arzner,Dorothy,D
103,AnA,Ascot,1980,Ascot,Anthony,D
104,HAs,Ashby,1970-1982,Ashby,Hal,DE
105,RAs,R.Asher,1959-1966,Asher,Robert,DWP
106,WAr,W.Asher,1948-1966,Asher,William,D
107,FAs,Ashton,1971,Ashton,Sir Frederick,GD
108,AA,Asquith,1928,Asquith,Anthony `Puffin',D
109,OlA,Assayas,1990-1997,Assayas,Oliver,D
110,ThA,Atkins,1934,Atkins,Thomas,D
111,RA,Attenborough,1942-1996,Attenborough,Sir Richard,APD
